Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield
2020-07-31,5.153900146484375,73.32150268554688,74.98999786376953,7.007299900054932,16.725099563598633,1.1872254610061646,104.68299865722656,1.311785101890564,1.3412799835205078,93.48999786376953,40.27000045776367,1962.800048828125,,,,
2020-08-01,,,,,,,,,,,,,0.1,259.316,18396.3,0.65
2020-08-31,5.389999866485596,74.13020324707031,73.12830352783203,6.8643999099731445,16.570859909057617,1.1918240785598755,105.53500366210938,1.3356484174728394,1.3080300092697144,92.13999938964844,42.61000061035156,1967.5999755859375,,,,
2020-09-01,,,,,,,,,,,,,0.09,259.997,18628.8,0.68
2020-09-30,5.630499839782715,78.96510314941406,73.84500122070312,6.815400123596191,16.926979064941406,1.1742050647735596,105.66400146484375,1.2866535186767578,1.338379979133606,93.88999938964844,40.220001220703125,1887.5,,,,
2020-10-01,,,,,,,,,,,,,0.09,260.319,18783.4,0.79
2020-10-31,5.7778000831604,78.83830261230469,74.26399993896484,6.714000225067139,16.358600616455078,1.1678695678710938,104.55400085449219,1.2931926250457764,1.331529974937439,94.04000091552734,35.790000915527344,1877.4000244140625,,,,
2020-11-01,,,,,,,,,,,,,0.09,260.911,19012.1,0.87
2020-11-30,5.34250020980835,75.99150085449219,73.94090270996094,6.576000213623047,15.235549926757812,1.1971460580825806,104.08200073242188,1.333191156387329,1.298259973526001,91.87000274658203,45.34000015258789,1775.699951171875,,,,
2020-12-01,,,,,,,,,,,,,0.09,262.045,19165.9,0.93
2020-12-31,5.190838813781738,74.52200317382812,73.13400268554688,6.522200107574463,14.641300201416016,1.2299896478652954,103.12100219726562,1.36306631565094,1.2750699520111084,89.94000244140625,48.52000045776367,1893.0999755859375,,,,
2021-01-01,,,,,,,,,,,,,0.09,262.687,19392.5,1.08
2021-01-31,5.437989234924316,76.1666030883789,72.93879699707031,6.448400020599365,15.18850040435791,1.2120037078857422,104.29100036621094,1.3725008964538574,1.2830899953842163,90.58000183105469,52.20000076293945,1847.300048828125,,,,
2021-02-01,,,,,,,,,,,,,0.08,263.579,19628.2,1.26
2021-02-28,5.528025150299072,74.706298828125,73.1509017944336,6.453800201416016,14.998100280761719,1.2160420417785645,106.37899780273438,1.4008152484893799,1.260990023612976,90.93000030517578,61.5,1728.0999755859375,,,,
2021-03-01,,,,,,,,,,,,,0.07,264.961,19852.2,1.61
2021-03-31,5.771599769592285,75.90399932861328,73.44529724121094,6.571000099182129,14.901180267333984,1.1723604202270508,110.30500030517578,1.3746649026870728,1.2620799541473389,93.2300033569336,59.15999984741211,1713.800048828125,,,,
2021-04-01,,,,,,,,,,,,,0.07,266.614,20189.0,1.64
2021-04-30,5.336400032043457,74.72930145263672,74.10579681396484,6.471199989318848,14.281800270080566,1.2127091884613037,108.90399932861328,1.3952839374542236,1.227620005607605,91.27999877929688,63.58000183105469,1767.300048828125,,,,
2021-05-01,,,,,,,,,,,,,0.06,268.383,20457.0,1.62
2021-05-31,5.23799991607666,73.1947021484375,72.39350128173828,6.367400169372559,13.768500328063965,1.2190067768096924,109.90699768066406,1.4180374145507812,1.2077800035476685,90.02999877929688,66.31999969482422,1902.5,,,,
2021-06-01,,,,,,,,,,,,,0.08,270.654,20499.2,1.52
2021-06-30,4.955100059509277,72.72239685058594,74.28759765625,6.463099956512451,14.342399597167969,1.1901928186416626,110.53500366210938,1.3842746019363403,1.2396199703216553,92.44000244140625,73.47000122070312,1770.800048828125,,,,
2021-07-01,,,,,,,,,,,,,0.1,271.903,20654.4,1.32
2021-07-31,5.080399990081787,73.15299987792969,74.25199890136719,6.4552998542785645,14.516799926757812,1.1892997026443481,109.40899658203125,1.3964334726333618,1.2449300289154053,92.16999816894531,73.94999694824219,1812.5999755859375,,,,
2021-08-01,,,,,,,,,,,,,0.09,272.676,20837.0,1.28
2021-08-31,5.1828999519348145,73.41649627685547,73.41120147705078,6.465099811553955,14.623749732971191,1.1796904802322388,109.94400024414062,1.376045823097229,1.260890007019043,92.62999725341797,68.5,1815.0,,,,
2021-09-01,,,,,,,,,,,,,0.08,273.91,21004.6,1.37
2021-09-30,5.414299964904785,72.84590148925781,74.3219985961914,6.469600200653076,15.14330005645752,1.1601601839065552,111.93599700927734,1.3426424264907837,1.27538001537323,94.25,75.02999877929688,1755.300048828125,,,,
2021-10-01,,,,,,,,,,,,,0.08,276.55,21168.0,1.58
2021-10-31,5.644899845123291,70.14240264892578,74.79720306396484,6.390399932861328,15.108960151672363,1.1683608293533325,113.61599731445312,1.380071759223938,1.2346099615097046,94.12000274658203,83.56999969482422,1783.0,,,,
2021-11-01,,,,,,,,,,,,,0.08,278.919,21337.9,1.56
2021-11-30,5.6006999015808105,74.43920135498047,75.05490112304688,6.38700008392334,16.103120803833008,1.1293437480926514,113.80400085449219,1.3315047025680542,1.273800015449524,95.98999786376953,66.18000030517578,1773.5999755859375,,,,
2021-12-01,,,,,,,,,,,,,0.08,280.845,21494.0,1.47
2021-12-31,5.570199966430664,74.53150177001953,74.43119812011719,6.372099876403809,15.889100074768066,1.132502794265747,115.06300354003906,1.349837303161621,1.274440050125122,95.66999816894531,75.20999908447266,1827.5,,,,
2022-01-01,,,,,,,,,,,,,0.08,282.543,21614.0,1.76
2022-01-31,5.362599849700928,77.73580169677734,75.03900146484375,6.35099983215332,15.582269668579102,1.1152374744415283,115.26200103759766,1.3403388261795044,1.2759100198745728,96.54000091552734,88.1500015258789,1795.0,,,,
2022-02-01,,,,,,,,,,,,,0.08,284.5,21712.7,1.93
2022-02-28,5.15939998626709,83.26100158691406,75.06800079345703,6.315999984741211,15.35280990600586,1.118105411529541,115.58499908447266,1.337327480316162,1.2755199670791626,96.70999908447266,95.72000122070312,1899.4000244140625,,,,
2022-03-01,,,,,,,,,,,,,0.2,287.674,21749.8,2.13
2022-03-31,4.769700050354004,83.46499633789062,75.82779693603516,6.346199989318848,14.482199668884277,1.1161835193634033,122.02100372314453,1.3138878345489502,1.24822998046875,98.30999755859375,100.27999877929688,1949.199951171875,,,,
2022-04-01,,,,,,,,,,,,,0.33,288.561,21780.3,2.75
2022-04-30,4.93779993057251,72.71499633789062,76.58899688720703,6.62529993057251,15.982500076293945,1.0504201650619507,130.81100463867188,1.2463854551315308,1.280460000038147,102.95999908447266,104.69000244140625,1909.300048828125,,,,
2022-05-01,,,,,,,,,,,,,0.77,291.298,21723.2,2.9
2022-05-31,4.752399921417236,64.58989715576172,77.5208969116211,6.660299777984619,15.476799964904785,1.0773539543151855,127.78399658203125,1.2647020816802979,1.2655199766159058,101.75,114.66999816894531,1842.699951171875,,,,
2022-06-01,,,,,,,,,,,,,1.21,294.957,21676.8,3.14
2022-06-30,5.1809000968933105,52.4650993347168,78.89830017089844,6.69980001449585,16.20870018005371,1.04465913772583,136.58900451660156,1.2131799459457397,1.2883299589157104,104.69000244140625,105.76000213623047,1804.0999755859375,,,,
2022-07-01,,,,,,,,,,,,,1.68,294.913,21676.5,2.9
